ID,ZoneID,StateID,LgaID,LocalityID,EnumerationID,HouseID,Trait_Id,Trait_Id_remark,B01_Rank
1,1,11,1110,11101,111011,1110111,High market demand,,Not important
2,1,11,1110,11101,111011,1110111, Big root size,,Very Important
3,1,11,1110,11101,111011,1110111,White colour roots,,Very Important
4,1,11,1110,11101,111011,1110111,Store well underground,can stay long after maturity without spoilage,Very Important
5,1,11,1110,11101,111011,1110112,High market demand,,Very Important
6,1,11,1110,11101,111011,1110112, Big root size,,Very Important
7,1,11,1110,11101,111011,1110112,White colour roots,,Very Important
8,1,11,1110,11101,111011,1110112,Store well underground,can stay long after maturity without spoilage,Important
9,1,11,1110,11101,111011,1110113,High market demand,,Very Important
10,1,11,1110,11101,111011,1110113, Big root size,,Very Important
11,1,11,1110,11101,111011,1110113,White colour roots,,Important
12,1,11,1110,11101,111011,1110113,Store well underground,can stay long after maturity without spoilage,Very Important
13,1,11,1110,11101,111011,1110114,High market demand,,Very Important
14,1,11,1110,11101,111011,1110114, Big root size,,Very Important
15,1,11,1110,11101,111011,1110114,White colour roots,,Very Important
16,1,11,1110,11101,111011,1110114,Store well underground,can stay long after maturity without spoilage,Very Important
17,1,11,1110,11101,111011,1110115,High market demand,,Very Important
18,1,11,1110,11101,111011,1110115, Big root size,,Very Important
19,1,11,1110,11101,111011,1110115,White colour roots,,Important
20,1,11,1110,11101,111011,1110115,Store well underground,can stay long after maturity without spoilage,Very Important
21,1,11,1110,11102,111021,1110211,High market demand,,Important
22,1,11,1110,11102,111021,1110211, Big root size,,Very Important
23,1,11,1110,11102,111021,1110211,White colour roots,,Very Important
24,1,11,1110,11102,111021,1110211,Store well underground,can stay long after maturity without spoilage,Important
25,1,11,1110,11102,111021,1110212,High market demand,,Very Important
26,1,11,1110,11102,111021,1110212, Big root size,,Very Important
27,1,11,1110,11102,111021,1110212,White colour roots,,Important
28,1,11,1110,11102,111021,1110212,Store well underground,can stay long after maturity without spoilage,Very Important
29,1,11,1110,11102,111021,1110213,High market demand,,Very Important
30,1,11,1110,11102,111021,1110213, Big root size,,Important
31,1,11,1110,11102,111021,1110213,White colour roots,,Moderately Important
32,1,11,1110,11102,111021,1110213,Store well underground,can stay long after maturity without spoilage,Very Important
33,1,11,1110,11102,111021,1110214,High market demand,,Very Important
34,1,11,1110,11102,111021,1110214, Big root size,,Very Important
35,1,11,1110,11102,111021,1110214,White colour roots,,Very Important
36,1,11,1110,11102,111021,1110214,Store well underground,can stay long after maturity without spoilage,Very Important
37,1,11,1110,11102,111021,1110215,High market demand,,Very Important
38,1,11,1110,11102,111021,1110215, Big root size,,Very Important
39,1,11,1110,11102,111021,1110215,White colour roots,,Important
40,1,11,1110,11102,111021,1110215,Store well underground,can stay long after maturity without spoilage,Very Important
41,1,11,1111,11111,111111,1111111,High market demand,,Very Important
42,1,11,1111,11111,111111,1111111, Big root size,,Very Important
43,1,11,1111,11111,111111,1111111,White colour roots,,Very Important
44,1,11,1111,11111,111111,1111111,Store well underground,can stay long after maturity without spoilage,Important
45,1,11,1111,11111,111111,1111112,High market demand,,Very Important
46,1,11,1111,11111,111111,1111112, Big root size,,Very Important
47,1,11,1111,11111,111111,1111112,White colour roots,,Very Important
48,1,11,1111,11111,111111,1111112,Store well underground,can stay long after maturity without spoilage,Very Important
49,1,11,1111,11111,111111,1111113,High market demand,,Important
50,1,11,1111,11111,111111,1111113, Big root size,,Moderately Important
51,1,11,1111,11111,111111,1111113,White colour roots,,Very Important
52,1,11,1111,11111,111111,1111113,Store well underground,can stay long after maturity without spoilage,Very Important
53,1,11,1111,11111,111111,1111114,High market demand,,Very Important
54,1,11,1111,11111,111111,1111114, Big root size,,Very Important
55,1,11,1111,11111,111111,1111114,White colour roots,,Very Important
56,1,11,1111,11111,111111,1111114,Store well underground,can stay long after maturity without spoilage,Very Important
57,1,11,1111,11111,111111,1111115,High market demand,,Moderately Important
58,1,11,1111,11111,111111,1111115, Big root size,,Important
59,1,11,1111,11111,111111,1111115,White colour roots,,Very Important
60,1,11,1111,11111,111111,1111115,Store well underground,can stay long after maturity without spoilage,Very Important
61,1,11,1111,11112,111121,1111211,High market demand,,Very Important
62,1,11,1111,11112,111121,1111211, Big root size,,Very Important
63,1,11,1111,11112,111121,1111211,White colour roots,,Very Important
64,1,11,1111,11112,111121,1111211,Store well underground,can stay long after maturity without spoilage,Important
65,1,11,1111,11112,111121,1111212,High market demand,,Very Important
66,1,11,1111,11112,111121,1111212, Big root size,,Very Important
67,1,11,1111,11112,111121,1111212,White colour roots,,Very Important
68,1,11,1111,11112,111121,1111212,Store well underground,can stay long after maturity without spoilage,Very Important
69,1,11,1111,11112,111121,1111213,High market demand,,Important
70,1,11,1111,11112,111121,1111213, Big root size,,Important
71,1,11,1111,11112,111121,1111213,White colour roots,,Important
72,1,11,1111,11112,111121,1111213,Store well underground,can stay long after maturity without spoilage,Very Important
73,1,11,1111,11112,111121,1111214,High market demand,,Very Important
74,1,11,1111,11112,111121,1111214, Big root size,,Very Important
75,1,11,1111,11112,111121,1111214,White colour roots,,Very Important
76,1,11,1111,11112,111121,1111214,Store well underground,can stay long after maturity without spoilage,Very Important
77,1,11,1111,11112,111121,1111215,High market demand,,Important
78,1,11,1111,11112,111121,1111215, Big root size,,Very Important
79,1,11,1111,11112,111121,1111215,White colour roots,,Moderately Important
80,1,11,1111,11112,111121,1111215,Store well underground,can stay long after maturity without spoilage,Important
81,1,11,1112,11121,111211,1112111,High market demand,,Not important
82,1,11,1112,11121,111211,1112111, Big root size,,Very Important
83,1,11,1112,11121,111211,1112111,White colour roots,,Very Important
84,1,11,1112,11121,111211,1112111,Store well underground,can stay long after maturity without spoilage,Very Important
85,1,11,1112,11121,111211,1112112,High market demand,,Very Important
86,1,11,1112,11121,111211,1112112, Big root size,,Very Important
87,1,11,1112,11121,111211,1112112,White colour roots,,Important
88,1,11,1112,11121,111211,1112112,Store well underground,can stay long after maturity without spoilage,Not important
89,1,11,1112,11121,111211,1112113,High market demand,,Very Important
90,1,11,1112,11121,111211,1112113, Big root size,,Very Important
91,1,11,1112,11121,111211,1112113,White colour roots,,Moderately Important
92,1,11,1112,11121,111211,1112113,Store well underground,can stay long after maturity without spoilage,Very Important
93,1,11,1112,11121,111211,1112114,High market demand,,Very Important
94,1,11,1112,11121,111211,1112114, Big root size,,Very Important
95,1,11,1112,11121,111211,1112114,White colour roots,,Very Important
96,1,11,1112,11121,111211,1112114,Store well underground,can stay long after maturity without spoilage,Very Important
97,1,11,1112,11121,111211,1112115,High market demand,,Very Important
98,1,11,1112,11121,111211,1112115, Big root size,,Very Important
99,1,11,1112,11121,111211,1112115,White colour roots,,Important
100,1,11,1112,11121,111211,1112115,Store well underground,can stay long after maturity without spoilage,Not important
101,1,11,1113,11131,111311,1113111,High market demand,,Important
102,1,11,1113,11131,111311,1113111, Big root size,,Important
